Frequency,Nominal,Min,Max
50,-1.0056122847685007,-1.049848729537007,-0.9606447386066294
51.16464961403771,-1.0227809269417425,-1.0674711979471168,-0.9773541472447186
52.35642740254497,-1.0401244116099881,-1.0852763886563523,-0.9942341556218671
53.57596526188031,-1.0576452916304926,-1.1032686108825094,-1.0112859301968167
54.82390980715924,-1.0753467521463473,-1.1214529930527493,-1.028511108566299
56.10092271509816,-1.0932326794321827,-1.1398355666605533,-1.0459118563535459
57.40768107484412,-1.1113077351100322,-1.1584233572920468,-1.0634909282277727
58.74487774697646,-1.1295774363539892,-1.177224483743714,-1.0812517334574447
60.11322173087062,-1.1480482428077547,-1.196248266305561,-1.0991984064711147
61.51343854061905,-1.166727651061011,-1.215505345459729,-1.1173358829821889
62.94627058970833,-1.185624297671053,-1.2350078124470458,-1.1356699823294951
64.41247758465666,-1.2047480718784644,-1.2547693533878337,-1.154207496796229
65.91283692782031,-1.2241102393526748,-1.2748054089129286,-1.1729562887975167
67.44814412958263,-1.2437235785190621,-1.2951333515718424,-1.1919253969742933
69.01921323014419,-1.2636025312682018,-1.315772683643453,-1.2111251524013067
70.62687723113766,-1.2837633701350346,-1.3367452583877697,-1.2305673063131528
72.27198853729631,-1.304224384366787,-1.3580755282521684,-1.2502651709785573
73.95541940841031,-1.325006087680073,-1.3797908240906998,-1.2702337756140576
75.67806242181034,-1.3461314509469868,-1.4019216700781647,-1.2904900395292405
77.440830945624,-1.3676261635547513,-1.424502139709398,-1.3110529650426987
79.2446596230556,-1.3895189277618814,-1.4475702590739006,-1.3319438531077268
81.09050486794642,-1.4118417910336298,-1.4711684644889174,-1.3531865450467728
82.97934537187795,-1.4346305220876436,-1.4953441225548811,-1.3748076943219059
84.91218262308713,-1.4579250372209456,-1.5201501217505096,-1.396837072872845
86.89004143746868,-1.4817698844220157,-1.545645545775327,-1.4193079172423777
88.91397050194604,-1.506214793786283,-1.5718964399115296,-1.44225732048703
90.98504293049906,-1.5313153038279068,-1.5989766826049603,-1.4657266767418047
93.10435683314326,-1.5571334743681042,-1.6269689750763259,-1.4897621862686137
95.27303589816223,-1.5837386976993844,-1.6559659617817075,-1.5144154298554224
97.49222998790214,-1.6112086205378577,-1.6860714934988994,-1.5397440225176187
99.76311574844384,-1.6396301896606298,-1.7174020420378568,-1.565812357528187
102.08689723347632,-1.669100833731903,-1.7500882700256193,-1.592692452771216
104.46480654270182,-1.6997297921080512,-1.7842767493622442,-1.6204649121124932
106.89810447511145,-1.7316395975561703,-1.8201318055336255,-1.6492200146519178
109.38808119747746,-1.7649677125868894,-1.8578374387706946,-1.6790589439604935
111.9360569284168,-1.7998683066688004,-1.897599232533895,-1.7100951670856726
114.54338263838847,-1.8365141413117843,-1.9396460988432438,-1.7424559682901775
117.21144076599592,-1.8750984981177146,-1.9842316206639619,-1.7762841337634194
119.94164595097432,-1.9158370361983645,-2.031634624523772,-1.8117397688451327
122.73544578425131,-1.958969392941692,-2.0821584423206874,-1.8490022056459223
125.59432157547879,-2.0047602373426523,-2.136128093902905,-1.888271922137312
128.51978913844297,-2.053499338338072,-2.193884346479412,-1.929772338070582
131.51339959476888,-2.105500013272898,-2.2557733130039077,-1.9737512709731009
134.57674019634555,-2.161095071451825,-2.322130015723772,-2.0204817178703847
137.71143516690807,-2.220629078535508,-2.3932543145732654,-2.0702614656663627
140.91914656322243,-2.2844454865256605,-2.469378033533331,-2.1234108180763243
144.20157515633002,-2.352867007151069,-2.5506233497528914,-2.1802674612868067
147.560461333319,-2.426167746944363,-2.6369548633796276,-2.2411771967242182
150.99758602010053,-2.504536364494656,-2.72813129127258,-2.3064790109701883
154.51477162567923,-2.5880312060167867,-2.8236667969199365,-2.3764828618413563
