Frequency,Nominal,Min,Max
50,2.6336243228029753e-7,2.504069516887301e-7,2.7698887508743555e-7
51.16464961403771,2.6811566740867566e-7,2.547043147738475e-7,2.822271534788135e-7
52.35642740254497,2.7304783865857004e-7,2.5916254066256103e-7,2.876645718138229e-7
53.57596526188031,2.781662810908463e-7,2.6378788086366957e-7,2.933097751976679e-7
54.82390980715924,2.834787869367588e-7,2.6858694282923776e-7,2.99171994123669e-7
56.10092271509816,2.8899365013173665e-7,2.7356672321338783e-7,3.052611038519666e-7
57.40768107484412,2.947197160141363e-7,2.7873464486550406e-7,3.1158769091214303e-7
58.74487774697646,3.0066643685965506e-7,2.840985980211011e-7,3.181631276909258e-7
60.11322173087062,3.068439340205132e-7,2.896669862198506e-7,3.249996562097202e-7
61.51343854061905,3.1326306755234907e-7,2.95448777556883e-7,3.3211048236256856e-7
62.94627058970833,3.1993551434340693e-7,3.014535619621075e-7,3.395098820764981e-7
64.41247758465666,3.268738559127474e-7,3.0769161530482027e-7,3.4721332107661934e-7
65.91283692782031,3.3409167721988286e-7,3.141739712394609e-7,3.5523759019154887e-7
67.44814412958263,3.416036780308288e-7,3.2091250184550013e-7,3.6360095842466874e-7
69.01921323014419,3.4942579861863774e-7,3.279200082728581e-7,3.723233463471264e-7
70.62687723113766,3.575753618439392e-7,3.352103227871037e-7,3.8142652274258757e-7
72.27198853729631,3.660712339666185e-7,3.427984238193663e-7,3.909343278536929e-7
73.95541940841031,3.749340068871852e-7,3.507005658680642e-7,4.008729270458899e-7
75.67806242181034,3.8418620490833785e-7,3.589344263770748e-7,4.112710992121792e-7
77.440830945624,3.9385251954511803e-7,3.675192720315443e-7,4.221605647827432e-7
79.2446596230556,4.0396007639440743e-7,3.764761472715442e-7,4.335763587574935e-7
81.09050486794642,4.145387385955139e-7,3.858280882276016e-7,4.455572547139034e-7
82.97934537187795,4.256214519600587e-7,3.956003657312892e-7,4.5814624620172497e-7
84.91218262308713,4.3724463739697465e-7,4.0582076154593595e-7,4.713910922319257e-7
86.89004143746868,4.4944863676535623e-7,4.165198824891594e-7,4.853449335618326e-7
88.91397050194604,4.622782186863214e-7,4.277315176641246e-7,5.000669859620187e-7
90.98504293049906,4.757831510277775e-7,4.394930445509466e-7,5.156233153067504e-7
93.10435683314326,4.900188465778274e-7,4.518458901845388e-7,5.32087696689165e-7
95.27303589816223,5.050470875929567e-7,4.6483605398166185e-7,5.495425551344004e-7
97.49222998790214,5.209368330711832e-7,4.785146988548015e-7,5.68079977865819e-7
99.76311574844384,5.377651092036505e-7,4.929388168749394e-7,5.878027760318351e-7
102.08689723347632,5.556179776900792e-7,5.081719746343872e-7,6.088255552882882e-7
104.46480654270182,5.745915672924167e-7,5.242851411899361e-7,6.31275726828144e-7
106.89810447511145,5.94793139475702e-7,5.413575974102774e-7,6.55294349532224e-7
109.38808119747746,6.163421369001746e-7,5.5947791879879e-7,6.810366348900116e-7
111.9360569284168,6.393711306609943e-7,5.787450131022636e-7,7.086718630507811e-7
