Frequency,Nominal,Min,Max
50,-2.0208180020784097,-2.409543774988636,-1.6266229969553347
51.16464961403771,-2.0732200679883976,-2.473793328255747,-1.666405297608762
52.35642740254497,-2.1254858605321854,-2.5381895573277875,-1.7057252989636806
53.57596526188031,-2.1774878944167972,-2.602614678830287,-1.7444446570988301
54.82390980715924,-2.2290897945348833,-2.666942998501776,-1.7824151351882722
56.10092271509816,-2.280145963877895,-2.7310406535632747,-1.8194781913708766
57.40768107484412,-2.3305012410908192,-2.794765345795077,-1.8554645554409877
58.74487774697646,-2.3799905466685787,-2.8579660639460758,-1.8901937940966795
60.11322173087062,-2.428438516862162,-2.9204827940844535,-1.9234738647354872
61.51343854061905,-2.475659124499568,-2.9821462165209973,-1.9551006581638763
62.94627058970833,-2.5214552861513613,-3.0427773880078783,-1.9848575311223664
64.41247758465666,-2.565618455407317,-3.102187408048782,-2.0125148302680738
65.91283692782031,-2.607928202510798,-3.1601770683666874,-2.037829410260288
67.44814412958263,-2.64815178125911,-3.2165364848828832,-2.0605441499350037
69.01921323014419,-2.686043684972683,-3.271044711991165,-2.0803874723289804
70.62687723113766,-2.721345194526004,-3.323469339495799,-2.0970728766438946
72.27198853729631,-2.7537839230025307,-3.3735660733634005,-2.1102984932858453
73.95541940841031,-2.7830733635886524,-3.421078302470648,-2.1197466770788784
75.67806242181034,-2.8089124499965084,-3.465736654879716,-2.1250836588970343
77.440830945624,-2.8309851421763716,-3.5072585489316808,-2.125959282628986
79.2446596230556,-2.848960054576417,-3.545347746728505,-2.122006863024361
81.09050486794642,-2.862490150023857,-3.5796939205249534,-2.1128432111422724
82.97934537187795,-2.8712125298205566,-3.6099722463651718,-2.098068888568014
84.91218262308713,-2.8747483603606443,-3.635843044221811,-2.077268770236996
86.89004143746868,-2.8727029891284723,-3.656951490250962,-2.0500130198282744
88.91397050194604,-2.8646663191471267,-3.6729274349781162,-2.0158586128315377
90.98504293049906,-2.8502135318855415,-3.683385371819753,-1.9743515825426794
93.10435683314326,-2.8289062756627574,-3.6879246140152153,-1.9250302159036212
95.27303589816223,-2.800294471452924,-3.686129755696512,-1.8674294923729322
97.49222998790214,-2.7639189329008125,-3.6775715156138333,-1.8010871436326725
99.76311574844384,-2.719315055059654,-3.661808091446171,-1.7255518192711956
102.08689723347632,-2.666017900237261,-3.6383871905447562,-1.6403939784072619
104.46480654270182,-2.603569103408328,-3.6068489517615148,-1.5452202942118158
106.89810447511145,-2.531526138502379,-3.5667300356575065,-1.4396925608486884
109.38808119747746,-2.44947463532539,-3.517569240461527,-1.3235523304289458
111.9360569284168,-2.3570446192159853,-3.45891510287922,-1.1966527735674248
114.54338263838847,-2.2539317639904386,-3.390336070950946,-1.0589995289504754
117.21144076599592,-2.1399250005254773,-3.311433995373147,-0.9108025368600737
119.94164595097432,-2.014942095522454,-3.221861879858525,-0.7525409467520318
122.73544578425131,-1.879075075715047,-3.1213470611810026,-0.5850429875770933
125.59432157547879,-1.7326475571003865,-3.0097212500921784,-0.40958192546486183
128.51978913844297,-1.5762860273109693,-2.8869591372647956,-0.2279875016615923
131.51339959476888,-1.4110067183966877,-2.753227512842946,-0.042768985094861246
134.57674019634555,-1.2383185735182993,-2.6089469838385537,0.14275947200145006
137.71143516690807,-1.060340480899894,-2.4548682568894384,0.32436867298331923
140.91914656322243,-0.8799268052798843,-2.292164345495455,0.49684778562015486
144.20157515633002,-0.7007886398135048,-2.122538590045007,0.6702148839151718
147.560461333319,-0.5275887622586322,-1.9483455210606122,0.8519562682139682
150.99758602010053,-0.3659765806671942,-1.7727167038732292,1.0262353253181302
154.51477162567923,-0.22251793782903506,-1.599676170613551,1.2236268273123374
158.11388300841867,-0.10446909841035924,-1.5214890779004073,1.3948036448873506
161.7968284648138,-0.019353267662161562,-1.4978674609722367,1.5310528064818505
165.56556074129523,0.025669361322565278,-1.5135307898084904,1.6240746125411154
169.42207806960096,0.024588262937845405,-1.6208352978493399,1.6669941234975467
173.3684252262655,-0.026635781229778017,-1.8831076481085318,1.6609859732115977
177.40669461678738,-0.1293896007242185,-2.1929875736626654,1.7152699803161058
181.5390273850503,-0.28204130852809056,-2.5428021484797805,1.7203048204256997
185.7676145485859,-0.47999015658663596,-2.9235887286385194,1.7197490939408584
190.09469816028022,-0.716114357838934,-3.3258809238279827,1.7107758274012776
194.5225724971399,-0.9814875584259436,-3.740351533708603,1.6617670923841341
199.0535852767482,-1.2661817051726216,-4.158251362903349,1.5791084507605138
203.69013890205593,-1.5599916050898668,-4.57164506017077,1.4716007147235395
208.43469173516726,-1.8529794760873652,-4.9734820049230795,1.3497082292891487
213.28975940079587,-2.135808532536519,-5.3575524443829545,1.2247800311048413
218.2579161200825,-2.399886641343797,-5.718375179670286,1.1083888408191467
223.34179607548106,-2.637366635331012,-6.051052173552087,1.0118616146086952
228.544094807437,-2.8410544163649742,-6.351113661109381,0.9460057925853975
233.86757064359855,-3.004269246135381,-6.614367698974583,0.9209865817165104
239.3150461613186,-3.12069099209287,-6.836761489189205,0.9462829758948355
244.8894096842225,-3.184222024223962,-7.01425815577876,1.030632460259378
250.59361681363552,-3.1888902789450086,-7.1427316047250535,1.18185059613151
256.4306919956818,-3.1288275888448207,-7.217883574454488,1.4063643390352718
